epoch,tok_end,phase,hit_pct,swaps
1,256,A,92.91,51
2,512,A,92.87,99
3,768,A,97.17,67
4,1024,A,95.63,65
5,1280,A,96.39,36
6,1536,A,86.63,59
7,1792,A,89.78,48
8,2048,A,92.37,24
9,2304,A,93.76,33
10,2560,A,94.89,29
11,2816,A,92.67,35
12,3072,A,96.77,24
13,3328,A,95.4,31
14,3584,A,96.89,40
15,3840,A,94.74,35
16,4096,A,95.25,11
17,4352,B,19.17,117
18,4608,B,40.22,120
19,4864,B,64.2,119
20,5120,B,76.39,105
21,5376,B,78.8,103
22,5632,B,85.82,95
23,5888,B,93.75,108
24,6144,B,95,120
25,6400,B,94.51,117
26,6656,B,96.06,108
27,6912,B,96.14,66
28,7168,B,97.62,27
29,7424,B,96.48,20
30,7680,B,98.19,41
31,7936,B,97.27,10
32,8192,B,97.14,21
