epoch,tok_end,phase,hit_pct,swaps
1,256,A,92.91,0
2,512,A,90.9,0
3,768,A,93.97,0
4,1024,A,93,0
5,1280,A,93.23,0
6,1536,A,87.19,0
7,1792,A,90.24,0
8,2048,A,89.95,0
9,2304,A,91.83,0
10,2560,A,92.37,0
11,2816,A,91.37,0
12,3072,A,91.34,0
13,3328,A,90.64,0
14,3584,A,92.55,0
15,3840,A,88.91,0
16,4096,A,89.11,0
17,4352,B,19.52,0
18,4608,B,15.72,0
19,4864,B,15.91,0
20,5120,B,15.13,0
21,5376,B,16.68,0
22,5632,B,19.45,0
23,5888,B,14.69,0
24,6144,B,13.99,0
25,6400,B,20.75,0
26,6656,B,17.57,0
27,6912,B,19.65,0
28,7168,B,18.75,0
29,7424,B,17.36,0
30,7680,B,13.54,0
31,7936,B,17.35,0
32,8192,B,17.06,0
