layer,expert,count
0,0,3341
0,1,1276
0,2,2348
0,3,3069
0,4,2780
0,5,132
0,6,1137
0,7,3270
0,8,655
0,9,814
0,10,26
0,11,3635
0,12,3326
0,13,3730
0,14,3175
0,15,5
0,16,2889
0,17,1661
0,18,1991
0,19,18
0,20,473
0,21,4634
0,22,761
0,23,2370
0,24,2241
0,25,131
0,26,2015
0,27,3610
0,28,14363
0,29,4203
0,30,2429
0,31,4980
0,32,1931
0,33,6279
0,34,4101
0,35,1981
0,36,83
0,37,902
0,38,3120
0,39,448
0,40,4218
0,41,2431
0,42,82
0,43,1753
0,44,975
0,45,2305
0,46,3546
0,47,2452
0,48,1143
0,49,992
0,50,3645
0,51,6362
0,52,3077
0,53,3986
0,54,96
0,55,85
0,56,76
0,57,4261
0,58,1781
0,59,4
0,60,764
0,61,6930
0,62,5154
0,63,3713
0,64,8382
0,65,3584
0,66,2006
0,67,4421
0,68,3993
0,69,5143
0,70,1285
0,71,3892
0,72,10537
0,73,1754
0,74,878
0,75,5802
0,76,3804
0,77,4715
0,78,1240
0,79,1903
0,80,3253
0,81,4692
0,82,5215
0,83,1841
0,84,1136
0,85,2857
0,86,3116
0,87,6938
0,88,3079
0,89,799
0,90,185
0,91,8342
0,92,1397
0,93,5708
0,94,570
0,95,2166
0,96,599
0,97,2800
0,98,5002
0,99,1620
0,100,8523
0,101,3328
0,102,4522
0,103,4158
0,104,2285
0,105,4999
0,106,4706
0,107,4376
0,108,388
0,109,3477
0,110,6058
0,111,3273
0,112,4293
0,113,606
0,114,3220
0,115,274
0,116,1877
0,117,3792
0,118,4009
0,119,3836
0,120,7039
0,121,2791
0,122,7944
0,123,2242
0,124,7406
0,125,1408
0,126,4752
0,127,2816
1,0,111
1,1,2206
1,2,5052
1,3,3020
1,4,1192
1,5,540
1,6,3738
1,7,4111
1,8,3501
1,9,7209
1,10,175
1,11,2929
1,12,1105
1,13,3053
1,14,2078
1,15,2970
1,16,4971
1,17,711
1,18,3750
1,19,2542
1,20,2457
1,21,1626
1,22,4347
1,23,3193
1,24,1575
1,25,4194
1,26,1829
1,27,3797
1,28,4465
1,29,4961
1,30,1781
1,31,4362
1,32,1330
1,33,779
1,34,2901
1,35,902
1,36,146
1,37,1503
1,38,3347
1,39,2517
1,40,1162
1,41,2641
1,42,1072
1,43,1118
1,44,880
1,45,4669
1,46,5127
1,47,2072
1,48,7007
1,49,4543
1,50,2656
1,51,221
1,52,3883
1,53,3563
1,54,236
1,55,123
1,56,678
1,57,1966
1,58,2412
1,59,189
1,60,5746
1,61,1183
1,62,4573
1,63,12637
1,64,6715
1,65,2937
1,66,4962
1,67,4336
1,68,1430
1,69,369
1,70,8750
1,71,49
1,72,443
1,73,1118
1,74,17802
1,75,4722
1,76,3849
1,77,4241
1,78,4436
1,79,211
1,80,2065
1,81,50
1,82,447
1,83,6001
1,84,1308
1,85,3811
1,86,4497
1,87,2143
1,88,515
1,89,4969
1,90,4482
1,91,5182
1,92,2583
1,93,447
1,94,5281
1,95,1126
1,96,2439
1,97,2090
1,98,3093
1,99,4569
1,100,5141
1,101,201
1,102,1023
1,103,3686
1,104,529
1,105,2052
1,106,4239
1,107,5269
1,108,2060
1,109,751
1,110,15
1,111,2382
1,112,17
1,113,3062
1,114,5368
1,115,2838
1,116,5185
1,117,510
1,118,4
1,119,3890
1,120,91
1,121,447
1,122,27363
1,123,2891
1,124,2418
1,125,579
1,126,2466
1,127,7938
2,0,4586
2,1,17
2,2,3397
2,3,99
2,4,14055
2,5,39
2,6,4213
2,7,4322
2,8,4850
2,9,4784
2,10,1686
2,11,19
2,12,2894
2,13,152
2,14,4392
2,15,2817
2,16,3921
2,17,1476
2,18,58
2,19,5
2,20,68
2,21,409
2,22,2662
2,23,161
2,24,1823
2,25,396
2,26,0
2,27,2379
2,28,0
2,29,3097
2,30,2384
2,31,577
2,32,17
2,33,1355
2,34,3
2,35,1
2,36,454
2,37,1762
2,38,6105
2,39,198
2,40,10686
2,41,3835
2,42,984
2,43,26
2,44,743
2,45,6275
2,46,4839
2,47,2445
2,48,2406
2,49,7979
2,50,3002
2,51,8078
2,52,15876
2,53,4519
2,54,4540
2,55,3366
2,56,206
2,57,1351
2,58,1917
2,59,1995
2,60,7391
2,61,365
2,62,4187
2,63,250
2,64,11083
2,65,8378
2,66,39
2,67,3055
2,68,8076
2,69,4233
2,70,3195
2,71,90
2,72,1787
2,73,4943
2,74,1653
2,75,1610
2,76,7939
2,77,1794
2,78,1460
2,79,2
2,80,447
2,81,1219
2,82,1352
2,83,936
2,84,6119
2,85,6907
2,86,264
2,87,2931
2,88,6401
2,89,187
2,90,6328
2,91,10
2,92,164
2,93,6028
2,94,7636
2,95,1934
2,96,2
2,97,3459
2,98,699
2,99,6819
2,100,4980
2,101,3265
2,102,18
2,103,340
2,104,7472
2,105,18
2,106,1405
2,107,2525
2,108,282
2,109,1308
2,110,188
2,111,1492
2,112,4113
2,113,1972
2,114,0
2,115,3389
2,116,7347
2,117,5818
2,118,4715
2,119,5433
2,120,6447
2,121,3472
2,122,6192
2,123,5102
2,124,25
2,125,11656
2,126,3052
2,127,3117
3,0,2518
3,1,6411
3,2,4736
3,3,3914
3,4,2712
3,5,1224
3,6,5989
3,7,5220
3,8,5
3,9,1702
3,10,6448
3,11,5158
3,12,2405
3,13,5618
3,14,350
3,15,36
3,16,447
3,17,2179
3,18,339
3,19,3722
3,20,2580
3,21,5357
3,22,467
3,23,963
3,24,5401
3,25,12560
3,26,5964
3,27,192
3,28,953
3,29,3138
3,30,888
3,31,5058
3,32,407
3,33,151
3,34,5430
3,35,2681
3,36,3738
3,37,3538
3,38,3423
3,39,1512
3,40,2316
3,41,2576
3,42,464
3,43,63
3,44,4
3,45,2569
3,46,441
3,47,401
3,48,390
3,49,2619
3,50,1137
3,51,733
3,52,71
3,53,3068
3,54,20755
3,55,1110
3,56,326
3,57,40
3,58,1
3,59,5196
3,60,3867
3,61,8509
3,62,7553
3,63,941
3,64,5765
3,65,14
3,66,1046
3,67,603
3,68,2020
3,69,763
3,70,7527
3,71,1193
3,72,2390
3,73,5927
3,74,6443
3,75,3005
3,76,4741
